time phi flux flux_err smear deltaT bg sin_phi cos_phi flux_cor_med flux_cor_sd planets_x_med planets_x_sd
2347.992778866552 232.88727471467473 -0.778588121683188 0.22366181783643346 7.892809046863148 -1.5000568628311157 -0.013310700491849806 -0.9164191679534501 -0.4118758956525713 -0.48948552364876896 0.019737822458409753 0.0 0.0
2347.993265272584 230.3443724671979 -0.7015848674216674 0.22367271344877207 5.811938522059476 -1.6486064195632935 -0.009347789895769175 -0.8823693113615823 -0.4981831988417124 -0.48181011422035713 0.019974194667244746 0.0 0.0
2347.9937516776845 227.73060659137218 0.41915557369520684 0.22379494833782335 0.1466708488458556 -1.5000568628311157 -0.01032137744456409 -0.845418623351062 -0.5836442073604253 -0.4748090573092131 0.020278595186751677 0.0 0.0
2347.994238072075 225.02125699027374 -0.24364955072375682 0.22371669160094068 0.04311554621944224 -1.5990382432937622 -0.01968578290370984 -0.8051095014156889 -0.6685631728917647 -0.4690450021738791 0.02063945600467966 0.0 0.0
2347.9947244776413 222.16744703698078 -0.5838451754545115 0.2236820933206666 0.004120651646408958 -1.5000568628311157 -0.015163321244307585 -0.7605397446861696 -0.7537665919426063 -0.4611529005422085 0.02107033414704037 0.0 0.0
2347.9952108832076 219.23109964798277 0.023451280747766035 0.22374618262813648 -0.004365684805761597 -1.5000568628311157 -0.019049201309378833 -0.7125345197606978 -0.8366712451474606 -0.4547463010777011 0.021535969327189288 0.0 0.0
2347.995697277598 216.17915640795582 -0.38221801408744316 0.22370555723100605 -0.005337383439684987 -1.5000568628311157 -0.01286519079748977 -0.6604663924237612 -0.9174883573584195 -0.44700506590419053 0.022053014845842704 0.0 0.0
2347.99618368363 212.98095582088035 -0.4652792497988889 0.22369793290314124 -0.0037888628844180575 -1.5000568628311157 -0.010316868331654943 -0.6036853903539074 -0.996079067183809 -0.43991911204641415 0.022595444375041414 0.0 0.0
2347.9966700887308 209.6985626523633 -0.7568979428820288 0.22366467680161248 -0.0005116871089783433 -1.5000568628311157 -0.01228616191475561 -0.5432325554971936 -1.069995378278596 -0.4337860314952776 0.023131115120123526 0.0 0.0
2347.9971564826556 206.29279950356022 -0.46302637407469316 0.22370620835529853 -0.0018086309256770724 -1.2021831274032593 0.002622427107168794 -0.47838695246655283 -1.1392120139685382 -0.42543594071267554 0.023703736579089547 0.0 0.0
2347.9976428886876 202.76032139937297 -1.1111223120913172 0.2236351895578238 0.005016816439704126 -1.2021831274032593 0.002954401614730406 -0.4090891448803544 -1.2026999801001357 -0.41956764695150833 0.02421813420229749 0.0 0.0
2347.998129294254 199.15500563106662 -0.29882612542575515 0.22372277657756046 0.02377251622030888 -1.2021831274032593 0.00041892078525133296 -0.3364912311276549 -1.2585310788677855 -0.41475177455282153 0.024675666225872993 0.0 0.0
